id,obj_id,obj_type,third_party_id,third_party_link,third_party_host
1,EBD_0001,1,210095b,https://www.hist-einband.de/de/koddetails.html?entityID=210095b,hist-einband.de
2,EBD_0002,1,201795w,https://www.hist-einband.de/de/koddetails.html?entityID=201795w,hist-einband.de
3,EBD_0003,1,210523b,https://www.hist-einband.de/de/koddetails.html?entityID=210523b,hist-einband.de
4,WST_0001,2,w004123,,hist-einband.de
5,WST_0002,2,w000967,,hist-einband.de
6,WST_0003,2,w004579,,hist-einband.de
7,WZG_0001,3,s031814,,hist-einband.de
8,WZG_0002,3,s003224,,hist-einband.de
9,WZG_0003,3,s033956,,hist-einband.de
10,TR_A_0001,4,,https://digitale-sammlungen.de/en/view/bsb00108475,digitale-sammlungen.de
13,TR_A_0005,4,,http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=16734114,
14,TR_A_0011,4,,https://www.e-codices.unifr.ch/de/list/one/ubb/O-I-0010,
15,TR_A_0020,4,,https://iiif.lib.harvard.edu/manifests/view/drs:24209555$1i,
16,TR_A_0019,4,,https://archive.thulb.uni-jena.de/ufb/receive/ufb_cbu_00028072,
