"id","car_id","sort_in_car","title","author_id","is_lost","text_range","incipit","additional_source","is_author_insecure","first_page_id"
"TX_A0001_000037","TR_A_0001","37","Ps 36 (Noli emulari in malignantibus)","","0","78r–83r","","","0","22_36_Ps36Noliemulariinmalignantibus_162_Bl78r"
"TX_A0001_000038","TR_A_0001","38","Ps 37 (Domine ne in furore tuo arguas me)","","0","83r–86v","","","0","22_37_Ps37Domineneinfuroretuoarguasme_172_Bl83r"
"TX_A0001_000039","TR_A_0001","39","Ps 38 (Dixi custodiam uias meas)","","0","86v–88v","","","0","22_38_Ps38Dixicustodiamuiasmeas_179_Bl86v"
"TX_A0001_000040","TR_A_0001","40","Ps 39 (Expectans expectaui dominum)","","0","88v–91v","","","0","22_39_Ps39Expectansexpectauidominum_183_Bl88v"
"TX_A0001_000041","TR_A_0001","41","Ps 40 (Beatus uir qui inteligit)","","0","92r–93v","","","0","22_40_Ps40Beatusuirquiinteligit_190_Bl92r"
"TX_A0001_000042","TR_A_0001","42","Ps 41 (Quemadmodum desiderat ceruus)","","0","93v–96r","","","0","22_41_Ps41Quemadmodumdesideratceruus_193_Bl93v"
"TX_A0001_000043","TR_A_0001","43","Ps 42 (Iudica me dominus)","","0","96r–96v","","","0","22_42_Ps42Iudicamedominus_198_Bl96r"
"TX_A0001_000044","TR_A_0001","44","Ps 43 (Deus auribus nostris audiuimus)","","0","97r–100v","","","0","22_43_Ps43Deusaribusnostrisaudiuimus_200_Bl97r"
"TX_A0001_000045","TR_A_0001","45","Ps 44 (Eructauit cor meum)","","0","100v–103r","","","0","22_44_Ps44Eructauitcormeum_207_Bl100v"
"TX_A0001_000046","TR_A_0001","46","Ps 45 (Deus noster refugium et uirtus)","","0","103r–104v","","","0","22_45_Ps45Deusnosterrefugiumetuirtus_212_Bl103r"
"TX_A0001_000047","TR_A_0001","47","Ps 46 (Omnes gentes paudite manibus)","","0","104v–105v","","","0","22_46_Ps46Omnesgentespauditemanibus_215_Bl104v"
"TX_A0001_000048","TR_A_0001","48","Ps 47 (Magnus dominus et laudabilis nimis)","","0","105v–107v","","","0","22_47_Ps47Magnusdominusetlaudabilisnimis_217_Bl105v"
"TX_A0001_000049","TR_A_0001","49","Ps 48 (Audite hec omnes gentes)","","0","107v–110v","","","0","22_48_Ps48Auditehecomnesgentes_221_Bl107v"
"TX_A0001_000050","TR_A_0001","50","Ps 49 (Deus deorum dominus locutus est)","","0","110v–113r","","","0","22_49_Ps49Deusdeorumdominuslocutusest_227_Bl110v"
"TX_A0001_000051","TR_A_0001","51","Ps 50 (Miserere mei deus)","","0","113v–116r","","","0","22_50_Ps50Misereremeideus_233_Bl113v"
"TX_A0001_000052","TR_A_0001","52","Ps 51 (Quid gloriaris in malicia)","","0","116r–117r","","","0","22_51_Ps51Quidgloriarisinmalicia_238_Bl116r"
"TX_A0001_000053","TR_A_0001","53","Ps 52 (Dixit insipiens in corde suo)","","0","117r–118v","","","0","22_52_Ps52Dixitinsipiensincordesuo_240_Bl117r"
"TX_A0001_000054","TR_A_0001","54","Ps 53 (Deus in nomine tuo saluum me fac)","","0","118v–119v","","","0","22_53_Ps53Deusinnominetuosaluummefac_243_Bl118v"
"TX_A0001_000055","TR_A_0001","55","Ps 54 (Exaudi Deus orationem meam)","","0","119v–122v","","","0","22_54_Ps54ExaudiDeusorationemmeam_245_Bl119v"
"TX_A0001_000056","TR_A_0001","56","Ps 55 (Miserere mei deus)","","0","122v–124v","","","0","22_55_Ps55Misereremeideus_251_Bl122v"
"TX_A0001_000057","TR_A_0001","57","Ps 56 (Miserere mei deus miserere mei)","","0","124v–126v","","","0","22_56_Ps56Misereremeideusmisereremei_255_Bl124v"
"TX_A0001_000058","TR_A_0001","58","Ps 57 (Si uere utique iustitiam loquimini)","","0","126v–128r","","","0","22_57_Ps57Siuereutiqueiustitiamloquimini_259_Bl126v"
"TX_A0001_000059","TR_A_0001","59","Ps 58 (Eripe me de inimicis meis)","","0","128r–130v","","","0","22_58_Ps58Eripemedeinimicismeis_262_Bl128r"
"TX_A0001_000060","TR_A_0001","60","Ps 59 (Deus repulisti nos)","","0","130v–132r","","","0","22_59_Ps59Deusrepulistinos_267_Bl130v"
"TX_A0001_000061","TR_A_0001","61","Ps 60 (Exaudi dominus deprecationem)","","0","132r–133r","","","0","22_60_Ps60Exaudidominusdeprecationem_270_Bl132r"
"TX_A0001_000062","TR_A_0001","62","Ps 61 (Nonne deo subiecta erit anima mea)","","0","133r–135r","","","0","22_61_Ps61Nonnedeosubiectaeritanimamea_272_Bl133r"
