"id","src_car","src_text","src_belegstelle","target_car","target_text","target_belegstelle","type","insecurity","general_insecurity","bemerkungen","file_name"
"VER_x_0141_000005","TR_A_0032","TX_A0032_000022","BEL_s_TR_A_0032_59v_$2","TR_X_0065","TX_X0067_000002","BEL_t_TR_X_0065_Volumen 2 KartaLiber8capitulum40$0","0","0","0","","x_Simon_de_Cassia__Expositio_super_Totum_Corpus_Evangeliorum"
"VER_x_0142_000001","TR_A_0015","TX_A0015_000019","BEL_s_TR_A_0015_248r_$1","TR_X_0066","TX_X0068_000001","BEL_t_TR_X_0066_Karta Dequodamjudeo15$0","0","0","0","Vgl. Joachimsohn S. 263.","x_Flavius_Josephus__Antiquitates_Judaicae"
"VER_x_0142_000002","TR_A_0014","TX_A0014_000047","BEL_s_TR_A_0014_252r_$1","TR_X_0066","TX_X0068_000002","","0","0","0","Vgl. Joachimsohn S. 263. Steht zu Beginn von Hermannus Minorita, Flores temporum.","x_Flavius_Josephus__Antiquitates_Judaicae"
"VER_x_0143_000001","TR_A_0032","TX_A0032_000053","BEL_s_TR_A_0032_174v_$2","TR_X_0067","TX_X0069_000001","BEL_t_TR_X_0067_Karta 140Parstertia$0","0","0","1","Unsicher nach Joachimsohn, S. 258: “Alexander [de Villa dei], [Doctrinale], pars tertia, codex russus. [Fabr. I, 63]”","x_Historia_Alexandri"
"VER_x_0143_000002","TR_A_0023","TX_A0023_000030","BEL_s_TR_A_0023_297v_b_$3","TR_X_0067","TX_X0069_000001","BEL_t_TR_X_0067_Karta EpistolaDindimiadAlexandrem$0","0","0","0","","x_Historia_Alexandri"
"VER_x_0144_000001","TR_A_0022","TX_A0022_000011","BEL_s_TR_A_0022_27v_$0","TR_X_0068","TX_X0070_000001","BEL_t_TR_X_0068_Karta  in parvo sexterniculo$0","0","0","0","","x_Liber_de_Missa"
"VER_x_0144_000002","TR_A_0022","TX_A0022_000048","BEL_s_TR_A_0022_308r_$0","TR_X_0068","TX_X0070_000002","","0","0","0","","x_Liber_de_Missa"
"VER_x_0144_000003","TR_A_0022","TX_A0022_000048","BEL_s_TR_A_0022_309v_$1","TR_X_0068","TX_X0070_000003","","0","0","0","","x_Liber_de_Missa"
"VER_x_0144_000004","TR_A_0034","TX_A0033_000002","BEL_s_TR_A_0034_12r_$0","TR_X_0068","TX_X0070_000004","","0","0","0","","x_Liber_de_Missa"
"VER_x_0145_000001","TR_A_0022","TX_A0022_000041","BEL_s_TR_A_0022_245v_$0","TR_X_0069","TX_X0071_000001","BEL_t_TR_X_0069_Karta 124DescientiamoriendiDistinctio2$0","0","0","0","","x_Occultus"
"VER_x_0145_000002","TR_A_0005","TX_A0005_000014","BEL_s_TR_A_0005_175v_$1","TR_X_0069","TX_X0071_000002","BEL_t_TR_X_0069_Karta 253$0","0","0","0","","x_Occultus"
"VER_x_0145_000003","TR_A_0005","TX_A0005_000014","BEL_s_TR_A_0005_175v_$1","TR_X_0069","TX_X0071_000002","BEL_t_TR_X_0069_Karta 273$0","0","0","0","","x_Occultus"
"VER_x_0145_000004","TR_A_0005","TX_A0005_000014","BEL_s_TR_A_0005_175v_$1","TR_X_0069","TX_X0071_000002","BEL_t_TR_X_0069_Karta 274$0","0","0","0","","x_Occultus"
"VER_x_0145_000005","TR_A_0005","TX_A0005_000014","BEL_s_TR_A_0005_175v_$1","TR_X_0069","TX_X0071_000002","BEL_t_TR_X_0069_Karta 291$0","0","0","0","","x_Occultus"
"VER_x_0145_000006","TR_A_0005","TX_A0005_000014","BEL_s_TR_A_0005_175v_$1","TR_X_0069","TX_X0071_000002","BEL_t_TR_X_0069_Karta 294$0","0","0","0","","x_Occultus"
"VER_x_0146_000001","TR_A_0016","TX_A0016_000026","BEL_s_TR_A_0016_399v_$1","TR_X_0070","TX_X0072_000001","BEL_t_TR_X_0070_Karta Tractatusdelepramorali(Prologus)$0","0","0","0","Kein Verweis, sondern Überschrift. Darunter: Beginn von Johannes Nider, De lepra morali","x_Summa_Raimundi"
"VER_x_0146_000002","TR_A_0022","TX_A0022_000047","BEL_s_TR_A_0022_302v_$1","TR_X_0070","TX_X0072_000001","BEL_t_TR_X_0070_Karta Auctoritatesdevirtutibus$0","0","0","0","","x_Summa_Raimundi"
"VER_x_0146_000003","TR_A_0022","TX_A0022_000006","BEL_s_TR_A_0022_7r_a_$4","TR_X_0070","TX_X0072_000001","BEL_t_TR_X_0070_Karta Depeccatosodomitico$0","0","0","0","","x_Summa_Raimundi"
"VER_x_0146_000004","TR_A_0022","TX_A0022_000004","BEL_s_TR_A_0022_2v_$1","TR_X_0070","TX_X0072_000002","BEL_t_TR_X_0070_Karta 72$0","0","0","0","","x_Summa_Raimundi"
"VER_x_0147_000001","TR_A_0035","TX_A0034_000008","BEL_s_TR_A_0035_45r_b_$1","TR_X_0071","TX_X0073_000001","BEL_t_TR_X_0071_Karta 6_$0","0","0","0","Vgl. Joachimsohn, S. 267 mit anderer Karta-Angabe (“8”).","x_Tractatus_Quod_Bene_Omnia_Fecit"
"VER_x_0147_000002","TR_A_0022","TX_A0022_000006","BEL_s_TR_A_0022_6r_$1","TR_X_0071","TX_X0073_000002","BEL_t_TR_X_0071_Karta 67$0","0","0","0","","x_Tractatus_Quod_Bene_Omnia_Fecit"
"VER_x_0148_000001","TR_A_0023","TX_A0023_000010","BEL_s_TR_A_0023_103r_$0","TR_X_0072","TX_X0074_000001","BEL_t_TR_X_0072_Karta 75Fabula9et10$0","0","0","0","","x_Adolfus_Viennensis__Doligamus"
"VER_x_0149_000001","TR_A_0035","TX_A0034_000042","BEL_s_TR_A_0035_257r_b_$5","TR_X_0073","TX_X0075_000001","BEL_t_TR_X_0073_A principio$0","0","0","0","Vgl. Joachimsohn, S. 267.","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
"VER_x_0149_000002","TR_A_0032","TX_A0032_000004","BEL_s_TR_A_0032_14r_a_$1","TR_X_0073","TX_X0075_000002","BEL_t_TR_X_0073_Karta 138$0","0","0","0","Vgl. Joachimsohn, S. 267.","x_Bonaventura__Lignum_Vitae_&_Seuse__Horologium"
