"id","car_id","benennung","source"
"BG_0050","TR_K_0016","Petrus Berthorius Liber de naturis rerum","Wolfenbüttel, Herzog-August-Bibliothek, Cod. Guelf. 36.19 Aug. 2°, Bl. 188v"
"BG_0051","TR_K_0017","Horatius liber sermonum","München, Bayerische Staatsbibliothek, Clm 3569, Bl. 21r"
"BG_0052","TR_K_0018","Oratio Tullii in Verrem","Wien, Österreichische Nationalbibliothek, Cod. 312, Bl. 8rb"
"BG_0053","TR_K_0019","Policratus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 40r"
"BG_0054","TR_K_0020","Prudentius","München, Bayerische Staatsbibliothek, Clm 17830, Bl. 108r"
"BG_0055","TR_K_0021","Tullius De officiis","München, Bayerische Staatsbibliothek, Clm 17831, Bl. 17vb"
"BG_0056","TR_K_0022","Persius Satyra","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13v"
"BG_0057","TR_K_0023","Vitas patrum","Wolfenbüttel, HAB, Cod. Guelf. 69.11 Aug. 2°, Bl. 297vb"
"BG_0058","TR_K_0024","Biblia","München, Bayerische Staatsbibliothek, Clm 17834, Bl. 6va"
"BG_0059","TR_K_0025","Epistola Senece","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 177r"
"BG_0060","TR_K_0026","Imago mundi","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276, Bl.187v"
"BG_0061","TR_K_0027","Tibullius","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13ra"
"BG_0062","TR_X_0001","Tabula theologiae","München, Bayerische Staatsbibliothek, Clm 3559, Bl. 214v"
"BG_0063","TR_X_0002","Codex russus Themata Guarini","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 143v"
"BG_0064","TR_X_0003","Citrinus libellus parvus Apostolorum Galeothi","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 1r"
"BG_0065","TR_X_0004","Speculum morale Vincentii","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 69v"
"BG_0066","TR_X_0005","Liber horarum albus","Budapest, Országos Széchényi Könyvtár [Széchényi-Nationalbibliothek], Codex latinus medii aevi 276, Bl. 126r"
"BG_0067","TR_X_0005","Liber horarum canonicalium russus arcus modus","München, Bayerische Staatsbibliothek, Clm 3559, Bl. 222v"
"BG_0068","TR_X_0006","Epistolae Tullii","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 224va"
"BG_0069","TR_X_0007","Katholicon","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 189vb"
"BG_0070","TR_X_0008","Augustini De civitate dei","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 28v"
"BG_0071","TR_X_0009","Codex citrinus litium Grecie","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 261"
"BG_0072","TR_X_0011","Laborintus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 176r"
"BG_0073","TR_X_0012","[Gersonis] Monotesseron","München, Bayerische Staatsbibliothek, Clm 17837, Bl. 2r"
"BG_0074","TR_X_0013","Jacobus de Voragine in sermone","München, Bayerische Staatsbibliothek, Clm 3559, Bl. 213v"
"BG_0075","TR_X_0014","Cronographia Augustensium","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 203r [alt 224r]"
"BG_0076","TR_X_0015","Boecius De consolatu","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 303r (alt 306r"
"BG_0077","TR_X_0016","Albus codex arcus modus de regimine sanitatis","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 241r [alt 265r]"
"BG_0078","TR_X_0017","Codex fuscus textus modus tractatuum rhetoricalium et amoris","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 103v"
"BG_0079","TR_X_0018","Flavus codex arcus modus Appologorum Cyrilli","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 99r [alt 114r]"
"BG_0080","TR_X_0018","Flavus codex tenuis Cyrilli","Heidelberg, Universitätsbibliothek, Cod. Pal. germ. 314, Bl. 100v"
"BG_0081","TR_X_0019","Codex flavus Physicorum","München, Bayerische Staatsbibliothek, Clm 3564, Bl. 264v"
